Variant,Date Hour and Minute,Source / Medium,City,Sessions,ga:goal14Completions,ga:goal17Completions,ga:goal18Completions
0,202304110531,yandex.ru / referral,Saint Petersburg,0,0,0,0
0,202304110535,(direct) / (none),Moscow,1,0,0,0
0,202304110536,(direct) / (none),Moscow,0,0,0,0
0,202304110536,yandex / cpc,Irkutsk,1,0,0,0
0,202304110537,(direct) / (none),Moscow,0,0,0,0
0,202304110537,yandex / cpc,Irkutsk,0,0,0,0
0,202304110538,(direct) / (none),Moscow,0,0,0,0
0,202304110540,yandex / cpc,Voronezh,1,0,0,0
0,202304110556,yandex / cpc,Almaty,1,0,0,0
0,202304110557,yandex / cpc,Almaty,0,0,0,0
0,202304110607,blog.alter.ru / referral,Novosibirsk,1,0,0,0
0,202304110608,blog.alter.ru / referral,Novosibirsk,0,0,0,0
0,202304110609,blog.alter.ru / referral,Novosibirsk,0,0,0,0
0,202304110612,blog.alter.ru / referral,Novosibirsk,0,0,0,0
0,202304110613,blog.alter.ru / referral,Novosibirsk,1,0,0,0
0,202304110613,google / organic,Novosibirsk,1,0,0,0
0,202304110614,blog.alter.ru / referral,Novosibirsk,0,0,0,0
0,202304110616,blog.alter.ru / referral,Novosibirsk,1,0,0,0
0,202304110616,google / organic,Novosibirsk,1,0,0,0
0,202304110617,blog.alter.ru / referral,Novosibirsk,0,0,0,0
0,202304110618,blog.alter.ru / referral,Novosibirsk,0,0,0,0
0,202304110621,google / organic,Novosibirsk,1,0,0,0
0,202304110630,google / cpc,Morelia,1,0,0,0
0,202304110631,google / cpc,Morelia,0,0,0,0
0,202304110633,google / organic,Chelyabinsk,1,0,0,0
0,202304110635,google / organic,Chelyabinsk,0,0,0,0
0,202304110652,google / organic,Krasnoyarsk,1,0,0,0
0,202304110654,google / organic,Krasnoyarsk,0,0,0,0
0,202304110656,google / organic,Krasnoyarsk,0,0,0,0
0,202304110657,(direct) / (none),Chelyabinsk,1,0,0,0
0,202304110658,(direct) / (none),Chelyabinsk,0,0,0,0
0,202304110700,(direct) / (none),Chelyabinsk,0,0,0,0
0,202304110700,google / organic,Ufa,1,0,0,0
0,202304110701,(direct) / (none),Chelyabinsk,0,0,0,0
0,202304110701,google / organic,Ufa,0,0,0,0
0,202304110702,google / organic,Ufa,0,0,0,0
0,202304110703,google / organic,Ufa,0,0,0,0
0,202304110704,google / organic,Khomutovo,1,0,0,0
0,202304110705,google / organic,Khomutovo,0,0,0,0
0,202304110707,google / organic,Khomutovo,0,0,0,0
0,202304110711,yandex / cpc,Moscow,1,0,0,0
0,202304110712,yandex / cpc,Moscow,1,0,0,0
0,202304110713,yandex / cpc,Moscow,1,0,0,0
0,202304110714,yandex / cpc,Moscow,0,0,0,0
0,202304110714,youtube / influence,Saint Petersburg,1,0,0,0
0,202304110715,youtube / influence,Saint Petersburg,0,0,0,0
0,202304110719,youtube / influence,Saint Petersburg,0,0,0,0
0,202304110720,google / organic,Chelyabinsk,1,0,0,0
0,202304110721,(direct) / (none),Omsk,1,0,0,0
0,202304110721,google / organic,Chelyabinsk,0,0,0,0
0,202304110721,youtube / influence,Saint Petersburg,0,0,0,0
0,202304110722,(direct) / (none),Omsk,0,0,0,0
0,202304110722,youtube / influence,Saint Petersburg,0,0,0,0
0,202304110723,google / organic,Chelyabinsk,0,0,0,0
0,202304110725,google / organic,Chelyabinsk,0,0,0,0
0,202304110726,(direct) / (none),Omsk,0,0,0,0
0,202304110727,gdeslon / cpa,Astana,1,0,0,0
0,202304110728,gdeslon / cpa,Astana,0,0,0,0
0,202304110728,google / organic,Grodno,1,0,0,0
0,202304110730,google / organic,Grodno,0,0,0,0
0,202304110730,yandex / cpc,Kyzylorda,1,0,0,0
0,202304110731,yandex / cpc,Kyzylorda,0,0,0,0
0,202304110732,gdeslon / cpa,Astana,0,0,0,0
0,202304110733,gdeslon / cpa,Astana,0,0,0,0
0,202304110733,google / organic,Novosibirsk,1,0,0,0
0,202304110734,gdeslon / cpa,Astana,0,0,0,0
0,202304110734,google / cpc,Phu Quoc,1,0,0,0
0,202304110734,google / organic,(not set),1,0,0,0
0,202304110735,google / cpc,Phu Quoc,0,0,0,0
0,202304110736,google / organic,(not set),0,0,0,0
0,202304110738,google / cpc,Phu Quoc,0,0,0,0
0,202304110739,gdeslon / cpa,Astana,0,0,0,0
0,202304110739,google / cpc,Phu Quoc,0,0,0,0
0,202304110739,yandex / cpc,Kyzylorda,0,0,0,0
0,202304110740,yandex / cpc,Yekaterinburg,1,0,0,0
0,202304110741,yandex / cpc,Yekaterinburg,0,0,0,0
0,202304110742,google / organic,Moscow,1,0,0,0
0,202304110743,google / organic,Moscow,0,0,0,0
0,202304110744,google / cpc,Paris,1,0,0,0
0,202304110744,yandex / cpc,Moscow,1,0,0,0
0,202304110745,google / organic,Moscow,0,0,0,0
0,202304110746,google / cpc,Paris,0,0,0,0
0,202304110748,google / organic,Novosibirsk,1,0,0,0
0,202304110749,gdeslon / cpa,Astana,0,0,0,0
0,202304110749,yandex / cpc,Kyzylorda,0,0,0,0
0,202304110752,google / organic,(not set),1,0,0,0
0,202304110754,google / organic,Moscow,1,0,0,0
0,202304110755,google / organic,Moscow,0,0,0,0
0,202304110758,google / organic,Moscow,0,0,0,0
0,202304110800,google / cpc,Phu Quoc,0,0,0,0
0,202304110801,gdeslon / cpa,Novosibirsk,1,0,0,0
0,202304110802,gdeslon / cpa,Novosibirsk,0,0,0,0
0,202304110803,google / organic,Moscow,0,0,0,0
0,202304110807,admitad / cpa,Bialystok,1,0,0,0
0,202304110808,google / organic,Moscow,1,0,0,0
0,202304110809,google / organic,Moscow,0,0,0,0
0,202304110811,google / organic,Moscow,0,0,0,0
0,202304110811,google / organic,Samara,1,0,0,0
0,202304110812,google / cpc,Phu Quoc,0,0,0,0
0,202304110815,google / organic,Samara,0,0,0,0
0,202304110816,google / organic,Frankfurt,1,0,0,0
0,202304110816,google / organic,Samara,0,0,0,0
0,202304110817,yandex / cpc,(not set),1,0,0,0
0,202304110819,google / organic,Samara,0,0,0,0
0,202304110824,google / organic,Samara,0,0,0,0
0,202304110825,google / organic,Samara,0,0,0,0
0,202304110825,yandex / cpc,Saratov,1,0,0,0
0,202304110829,yandex / cpc,(not set),1,0,0,0
0,202304110831,(direct) / (none),Chelyabinsk,1,0,0,0
0,202304110835,promo_letter / email,(not set),1,0,0,0
0,202304110837,promo_letter / email,(not set),0,0,0,0
0,202304110838,google / organic,Moscow,0,0,0,0
0,202304110838,promo_letter / email,(not set),0,0,0,0
0,202304110839,promo_letter / email,(not set),0,0,0,0
0,202304110840,google / organic,Saint Petersburg,1,0,0,0
0,202304110841,google / organic,Saint Petersburg,0,0,0,0
0,202304110841,promo_letter / email,(not set),0,0,1,0
0,202304110842,promo_letter / email,(not set),0,0,0,0
0,202304110843,google / organic,Saint Petersburg,0,0,0,0
0,202304110844,google / organic,Saint Petersburg,0,0,0,0
0,202304110844,google / organic,Samara,0,0,0,0
0,202304110844,peopletalk-ru.turbopages.org / referral,Krasnoyarsk,1,0,0,0
0,202304110845,promo_letter / email,(not set),0,1,0,1
0,202304110846,google / organic,Saint Petersburg,0,0,0,0
0,202304110846,google / organic,Samara,1,0,0,0
0,202304110847,google / organic,(not set),1,0,0,0
0,202304110847,google / organic,Samara,0,0,0,0
0,202304110848,(direct) / (none),Moscow,1,0,0,0
0,202304110848,yandex / cpc,Moscow,1,0,0,0
0,202304110849,(direct) / (none),Yekaterinburg,1,0,0,0
0,202304110849,google / organic,Samara,0,0,0,0
0,202304110849,yandex / cpc,Moscow,0,0,0,0
